subordinate    sub.ordin.ate
enrichment    en.rich.ment
thy    thy
perch    perch
botanical    bot.anic.al
divinity    divin.ity
flowing    flow.ing
wane    wane
unfairly    un.fair.ly
savage    sav.age
forceful    force.ful
tack    tack
emblem    emblem
promised    promis.ed
willow    willow
bland    bland
styling    styl.ing
gateway    gate.way
termination    ter.min.ation
stakeholder    stake.hold.er
hegemony    hegemon.y
homage    hom.age
sweet    sweet
mashed    mash.ed
police    police
sailing    sail.ing
fed    fed
displaced    dis.plac.ed
thriving    thriv.ing
mobilization    mobil.ization
implant    im.plant
streak    streak
psychosocial    psycho.social
clipping    clip.ping
convergence    con.verg.ence
immensely    im.mens.ely
imagined    im.agin.ed
palpable    palp.able
mantra    man.tra
password    pass.word
aboriginal    a.borig.inal
cosmetics    cosm.etics
whim    whim
spotted    spot.ted
watchdog    watch.dog
adjustable    ad.just.able
pickle    pick.le
stationary    stat.ion.ary
continual    con.tinual
ridicule    rid.ic.ule
dj    dj
pardon    par.don
denim    denim
virgin    vir.gin
pitching    pitch.ing
bubble    bub.ble
rectangle    rect.ang.le
weed    weed
op    op
close    close
angular    angul.ar
imperfect    im.perfect
revert    re.vert
periphery    periph.ery
patronage    patron.age
engaging    en.gag.ing
startled    start.led
clinician    clin.ici.an
bikini    bikini
hospitalize    hospital.ize
ringing    ring.ing
comparatively    compar.atively
poisonous    poison.ous
statesman    state.sman
villa    villa
marxist    marx.ist
stimulating    stimulat.ing
zest    zest
appointee    ap.point.ee
invaluable    in.valu.able
infusion    in.fus.ion
ulcer    ulcer
proactive    pro.act.ive
shampoo    shampoo
translucent    trans.luc.ent
brutally    brutal.ly
triumphant    triumph.ant
sensual    sensu.al
fitting    fit.ting
hoof    hoof
chandelier    chand.el.ier
contaminated    con.tamin.at.ed
gasp    gasp
halve    halve
coordinated    co.ordin.at.ed
approved    ap.prov.ed
concentrated    con.centr.at.ed
unpaid    un.paid
enthusiastically    en.thusi.asti.cally
precarious    pre.car.ious
grassy    grass.y
mosaic    mosaic
bypass    by.pass
winding    wind.ing
rosy    ros.y
downstream    down.stream
shredded    shred.ded
clam    clam
breathtaking    breath.tak.ing
ginger    ginger
passionately    passion.ate.ly
avalanche    a.valanche
numerical    numer.ical
robotic    robot.ic
squadron    squad.ron
festive    fest.ive
steady    stead.y
coupon    coupon
biker    bik.er
ramification    ram.ific.ation
sluggish    slugg.ish
grope    grope
venerable    vener.able
seventeenth    seven.teenth
microbe    micro.be
repetitive    re.pet.it.ive
engaged    en.gag.ed
baker    bak.er
brown    brown
footnote    foot.note
serene    serene
notation    no.tation
hungarian    hung.ari.an
sanitation    san.ita.tion
vector    vector
gust    gust
folding    fold.ing
fluffy    fluff.y
stern    stern
pathology    patho.log.y
incompatible    in.com.pat.ible
blurt    blurt
vain    vain
suffering    suffer.ing
vigil    vigil
suppression    sup.press.ion
orthodoxy    ortho.doxy
nonviolent    non.vio.lent
profile    pro.file
stressor    stress.or
giggle    gig.gle
purchasing    purchas.ing
broke    broke
neutron    neut.ron
minced    minc.ed
stairway    stair.way
taking    tak.ing
fir    fir
excavate    ex.cav.ate
cloud    cloud
intrude    in.trude
metric    met.ric
mapping    map.ping
holler    holl.er
hearty    heart.y
cerebral    cerebr.al
cornerback    corner.back
retarded    re.tard.ed
modernism    modern.ism
crocodile    crocodile
cider    cider
coin    coin
symmetry    sym.met.ry
crown    crown
earthly    earth.ly
finalist    fi.nal.ist
innate    in.nate
dearly    dear.ly
dope    dope
upright    up.right
parishioner    parishi.on.er
snail    snail
zeal    zeal
rejoin    re.join
decipher    de.ciph.er
exemplary    exem.plar.y
electronically    elec.tron.ic.al.ly
osteoporosis    osteo.poro.sis
shattered    shat.ter.ed
deplete    de.plete
martini    mar.tini
perverse    per.verse
acoustic    a.cou.stic
proficiency    pro.fici.ency
favorably    favor.ab.ly
standoff    stand.off
coronary    coron.ar.y
obsessive    ob.sess.ive
rhyme    rhyme
sincerely    sin.cere.ly
analogous    a.nalog.ous
colombian    colomb.ian
legion    legion
patriarchal    patri.arch.al
gait    gait
euro    euro
gleam    gleam
accreditation    ac.cred.it.ation
kosher    kosher
caravan    caravan
unresolved    un.resolv.ed
offshore    off.shore
locked    lock.ed
sect    sect
tone    tone
sectarian    sect.arian
resurrection    re.surrect.ion
brittle    brit.tle
adept    a.dept
handmade    hand.made
handicapped    handi.capp.ed
babe    babe
foray    for.ay
torque    torque
outdated    out.dated
fragmented    frag.ment.ed
coastline    coast.line
cloudy    cloud.y
spur    spur
thrift    thrift
manufacture    manu.fact.ure
necessitate    neces.sit.ate
installment    in.stall.ment
daycare    day.care
precipitate    pre.cipit.ate
subsistence    sub.sist.ence
subtract    sub.tract
nourish    nour.ish
evangelical    evan.gel.ical
slug    slug
ho    ho
understandably    under.stand.ab.ly
likeness    like.ness
strategically    strate.gic.ally
scold    scold
hysteria    hyster.ia
upbringing    up.bring.ing
sixteenth    six.teenth
intolerance    in.toler.ance
drinker    drink.er
festivity    fest.iv.ity
reflex    re.flex
rebuilding    re.build.ing
barrage    barrage
inspiring    in.spir.ing
slowdown    slow.down
conglomerate    con.glomer.ate
ivy    ivy
scrap    scrap
rust    rust
safe    safe
cheerleader    cheerlead.er
township    town.ship
insulate    in.sul.ate
honorary    honor.ary
disproportionate    dis.propor.tion.ate
consolation    con.sol.ation
dispatch    dis.patch
dissatisfied    dis.satisf.ied
operative    op.er.at.ive
transmitter    trans.mitt.er
bailout    bail.out
ion    ion
hacker    hack.er
curricular    curri.cul.ar
anthology    antho.log.y
vacancy    vac.an.cy
imprint    im.print
supplemental    sup.ple.ment.al
audition    au.di.tion
receptionist    re.cep.tion.ist
sealed    seal.ed
addictive    ad.dict.ive
unbearable    un.bear.able
portuguese    portu.guese
poll    poll
notoriously    not.or.ious.ly
packing    pack.ing
projector    pro.jec.tor
wares    wares
cradle    crad.le
polymer    polym.er
prehistoric    pre.his.tor.ic
eloquent    elo.quent
nicotine    nicot.ine
globally    global.ly
nongovernmental    non.govern.ment.al
regiment    re.giment
ascent    a.scent
apricot    apricot
quaint    quaint
seedling    seed.ling
herring    her.ring
nigger    nigger
tofu    tofu
safeguard    safe.guard
thirsty    thirst.y
federation    fed.era.tion
anecdotal    anec.dot.al
outlaw    out.law
tapestry    tapestry
underwater    underwat.er
skid    skid
school    school
smoked    smok.ed
hospice    hospice
adjective    ad.jec.tive
oasis    oas.is
brilliance    brillian.ce
scarlet    scarlet
aquarium    aquar.ium
misfortune    mis.fortune
hostess    host.ess
abuser    a.bus.er
inception    in.cept.ion
clad    clad
reverence    rever.ence
winery    win.ery
telling    tel.ling
balk    balk
bath    bath
beta    beta
monstrous    monstr.ous
obese    obe.se
thoughtfully    thought.ful.ly
lecturer    lect.ur.er
profess    pro.fess
unintended    un.in.tend.ed
jihad    jih.ad
moratorium    mor.at.ori.um
estimation    es.tim.ation
headnote    head.note
sprig    sprig
pharmacist    pharm.acist
monologue    mono.logue
feud    feud
convertible    con.vert.ible
ally    ally
embryonic    embry.on.ic
casserole    cass.er.ole
audible    aud.ible
beaten    beat.en
disgrace    dis.grace
resurgence    re.surg.ence
rosemary    rose.mary
squirm    squirm
grad    grad
pixel    pix.el
fledgling    fledg.ling
brilliantly    brillian.tly
trim    trim
pantry    pan.try
snap    snap
cycle    cycle
anew    a.new
fuse    fuse
fabricate    fab.ric.ate
sow    sow
bare    bare
modernize    modern.ize
disapproval    dis.ap.proval
tendon    tend.on
avocado    a.vo.ca.do
disguise    dis.guise
getaway    get.away
plaid    plaid
complexion    com.plexion
wrench    wrench
sublime    sub.lime
trusted    trust.ed
collateral    col.lat.eral
stoop    stoop
unused    un.used
ecstatic    ec.stat.ic
waive    waive
paramedic    para.med.ic
thaw    thaw
aye    aye
disintegrate    dis.in.teg.rate
hardy    hard.y
obliterate    ob.liter.ate
infiltrate    in.fil.trate
decency    dec.ency
brandy    brand.y
notwithstanding    notwithstanding
forestry    fore.stry
rover    rover
stitch    stitch
internship    intern.ship
enlightened    en.light.ened
extravagant    extra.vagant
testosterone    testos.terone
belgian    bel.gian
find    find
chatter    chatter
predictive    pre.dictive
interrogate    inter.rogate
grieving    griev.ing
accessibility    ac.ces.sib.ili.ty
stat    stat
inflammatory    in.flam.ma.tory
visitation    vis.it.ation
hypertension    hyper.ten.sion
hanging    hang.ing
conceivable    con.ceiv.able
zucchini    zuc.chi.ni
entrust    en.trust
taut    taut
exploratory    ex.plor.atory
incremental    in.cre.men.tal
cutback    cut.back
remedial    re.med.ial
detach    de.tach
biopsy    bio.ps.y
brew    brew
sacrament    sacra.ment
gymnastics    gymnas.tics
transplant    trans.plant
slate    slate
reorganization    re.or.gan.ization
discipline    dis.cipl.ine
clientele    cli.ent.ele
endowment    en.dow.ment
biomass    bio.mass
zipper    zipp.er
adrenaline    ad.ren.al.ine
mediocre    me.di.ocre
heartland    heart.land
outright    out.right
sparse    sparse
completed    com.plet.ed
narrate    narr.ate
snore    snore
beacon    bea.con
speck    speck
zinc    zinc
tattered    tat.ter.ed
cellphone    cell.phone
rendition    ren.dit.ion
saloon    sa.loon
roast    roast
pleasantly    pleas.ant.ly
preseason    pre.seas.on
unanimously    un.anim.ous.ly
solid    solid
curfew    cur.few
swell    swell
gritty    grit.ty
extraction    ex.trac.tion
glisten    glisten
courtship    court.ship
victimization    vic.tim.ization
pentagon    pent.agon
yen    yen
rift    rift
orgasm    orgasm
slick    slick
melting    melt.ing
excerpt    ex.cerpt
takeoff    take.off
gracefully    grace.ful.ly
admirable    ad.mir.able
encyclopedia    en.cyclo.ped.ia
remorse    re.morse
shortfall    short.fall
cubicle    cub.ic.le
progressively    pro.gress.ively
pride    pride
shy    shy
bloody    blood.y
principally    princip.al.ly
beforehand    be.fore.hand
dart    dart
undecided    un.de.cid.ed
margarine    margar.ine
lookout    look.out
scroll    scroll
objectivity    ob.jec.tiv.ity
affidavit    af.fid.av.it
pen    pen
folded    fold.ed
preserve    pre.ser.ve
neural    neur.al
satire    sat.ire
dues    dues
cot    cot
alternatively    alter.nat.ive.ly
makeover    makeov.er
batting    bat.ting
behold    be.hold
pew    pew
ethiopian    ethi.op.ian
wring    wring
tedious    ted.ious
nostalgic    nostalg.ic
turbulence    turbul.ence
junior    juni.or
differentiation    dif.fer.enti.ation
dignified    dign.if.ied
parody    par.ody
caste    caste
humanities    human.it.ies
collective    col.lect.ive
relentlessly    rel.ent.less.ly
neutralize    ne.utral.ize
proportional    pro.portion.al
rebate    re.bate
scripture    script.ure
sewing    sew.ing
austrian    austri.an
fleeting    fleet.ing
pedestal    pede.stal
biographer    bio.graph.er
abdominal    abdomin.al
parade    pa.rade
diarrhea    di.ar.rhea
delineate    de.line.ate
spew    spew
omission    omis.sion
annoyance    an.no.yance
paranoia    parano.ia
kuwaiti    kuwai.ti
emeritus    em.eri.tus
reptile    rep.tile
foreclosure    fore.clos.ure
halfway    half.way
insecure    in.secure
majestic    majestic
confound    con.found
mathematician    math.emat.ician
surreal    sur.real
holding    hold.ing
born    born
cleanse    clean.se
relocation    re.locat.ion
compact    com.pact
adopted    ad.opt.ed
lotion    lot.ion
finger    finger
identifiable    iden.ti.fi.able
cadre    cadre
commend    com.mend
surplus    sur.plus
encircle    en.cir.cle
confiscate    con.fiscate
dynasty    dynast.y
burglary    bur.glar.y
coroner    coron.er
generously    gener.ous.ly
eclipse    e.cli.pse
disco    disco
paradoxically    para.do.xi.cal.ly
boldly    bold.ly
heap    heap
preferable    pre.fer.able
amnesty    am.nest.y
iron    iron
hydraulic    hydraul.ic
rediscover    re.dis.cover
disgusted    dis.gust.ed
thee    thee
forcefully    force.ful.ly
rink    rink
rafter    raft.er
resurrect    re.surrect
flourish    flour.ish
individualism    in.dividu.al.ism
neuron    neuron
deli    deli
backfire    back.fire
resilience    re.sili.ence
downright    down.right
pastel    pastel
measured    measur.ed
buttocks    buttocks
delicately    delic.ate.ly
menopause    meno.pause
yugoslav    yugo.slav
halftime    half.time
derail    de.rail
bewildered    be.wild.ered
individuality    in.dividu.al.ity
revitalize    re.vital.ize
reassurance    re.assur.ance
downsize    down.size
impediment    im.pe.di.ment
captivity    cap.tiv.it.y
steward    stew.ard
watery    water.y
electromagnetic    electro.magn.etic
kayak    kayak
tentatively    tent.at.iv.ely
awkwardly    awkward.ly
storefront    store.front
sparkle    spark.le
defeated    de.fe.at.ed
bipolar    bi.polar
manageable    man.age.able
guise    guise
electrode    electro.de
slap    slap
remake    re.make
ornate    or.nate
edible    e.di.ble
patch    patch
colonization    colon.ization
funky    funky
miss    miss
viral    vir.al
hum    hum
disciplined    dis.ciplin.ed
eggplant    egg.plant
booklet    book.let
thunderstorm    thunder.storm
bumper    bump.er
stronghold    strong.hold
thrilling    thril.ling
schoolteacher    schoolteach.er
focused    foc.us.ed
skyscraper    skyscrap.er
anxiously    anx.ious.ly
pronouncement    pro.nounc.ement
expend    ex.pend
brake    brake
inexperienced    in.experienc.ed
airy    air.y
outpatient    out.patient
resilient    re.sili.ent
erratic    er.rat.ic
redesign    re.design
refinement    re.fin.ement
chute    chute
reciprocal    re.cip.ro.cal
neurological    neuro.log.ic.al
hilarious    hilar.ious
arch    arch
nonfiction    non.fiction
dispel    dis.pel
syringe    syringe
taunt    taunt
shiite    shi.ite
stylistic    styl.ist.ic
gray    gray
pointer    point.er
yawn    yawn
envelop    en.vel.op
handshake    hand.shake
theorize    theo.rize
special    spec.ial
kindly    kind.ly
revere    re.vere
renounce    re.nounce
mormon    mormon
bundle    bund.le
distrust    dis.trust
emigrate    e.migr.ate
squeeze    squeeze
tan    tan
swath    swath
cardboard    card.board
bribe    bribe
frown    frown
wiggle    wig.gle
overstate    over.state
breeder    breed.er
cringe    cringe
disapprove    dis.approve
whichever    whichev.er
herd    herd
lore    lore
choral    choral
memorabilia    memorabil.ia
gag    gag
simplistic    simpl.istic
czar    czar
emphatically    emphat.ical.ly
investing    in.vest.ing
proclamation    pro.clamat.ion
climax    climax
improbable    im.prob.able
roadway    road.way
wrapper    wrapp.er
ukrainian    ukraini.an
closeness    close.ness
contributing    con.tri.bu.ting
victimize    vic.tim.ize
unearth    un.earth
plunge    plunge
ambivalent    am.biv.al.ent
caliber    calib.er
subgroup    sub.group
confinement    con.fin.ement
hearth    hearth
extra    extra
humid    humid
swarm    swarm
worthy    worth.y
updated    up.dat.ed
obstruct    ob.struct
shortstop    short.stop
trudge    trudge
glean    glean
generalize    gen.er.al.ize
smuggler    smuggl.er
induction    in.duct.ion
bungalow    bun.ga.low
suggestive    sug.gest.ive
feeding    feed.ing
faucet    fauc.et
worldly    world.ly
stash    stash
positioning    po.si.tion.ing
humiliating    hu.mi.li.at.ing
centimeter    cen.timet.er
caring    car.ing
shard    shard
fillet    fil.let
dialect    di.alect
varsity    var.sity
arid    a.rid
founding    foun.ding
kettle    ket.tle
biased    bi.as.ed
sharing    shar.ing
recruiter    recruit.er
nafta    nafta
down    down
unreliable    un.reli.able
fundamental    fun.damen.tal
dwindle    dwind.le
flyer    fly.er
ill    ill
transient    tran.sient
rejoice    re.joice
paddle    pad.dle
doorstep    door.step
distance    dis.tance
attributable    at.tribut.able
patriarch    patri.arch
substitution    sub.stitut.ion
unspoken    un.spok.en
anthropological    anthropo.log.ical
welcoming    wel.com.ing
unequal    un.equal
mare    mare
gal    gal
tutoring    tutor.ing
misdemeanor    mis.demean.or
info    info
nest    nest
loot    loot
inconvenience    in.con.ve.nience
sleeper    sleep.er
gamble    gamble
caricature    caric.at.ure
legalize    legal.ize
peruvian    peru.vian
racing    rac.ing
foothill    foot.hill
propulsion    pro.pul.sion
evergreen    ever.green
attire    at.tire
backcountry    back.country
outfielder    out.field.er
sub    sub
recurrence    re.cur.rence
saucer    sauc.er
stated    stat.ed
synonymous    syn.ony.mous
macho    macho
strained    strain.ed
picket    pick.et
clothe    clothe
combatant    com.bat.ant
colonialism    colon.ial.ism
derivative    de.riv.at.ive
adoptive    adopt.ive
informative    in.form.at.ive
moderate    mod.er.ate
twirl    twirl
nominal    nom.in.al
recapture    re.cap.ture
frontal    front.al
splendor    splendor
blatant    blatant
viability    vi.abil.ity
spreading    spread.ing
overboard    over.board
cohesion    co.he.sion
going    go.ing
funnel    funnel
abstinence    ab.stin.ence
distorted    dis.tort.ed
pictorial    pict.or.ial
fanatic    fan.at.ic
routine    rou.tine
rendering    ren.der.ing
hopelessly    hope.less.ly
ancestry    ances.try
upstate    up.state
remembrance    re.mem.brance
detachment    de.tach.ment
repercussion    re.per.cus.sion
frivolous    friv.ol.ous
exceedingly    ex.ceed.ing.ly
accelerated    ac.cel.er.at.ed
familial    fami.li.al
decoy    de.coy
vial    vi.al
wrinkled    wrin.kl.ed
thirst    thirst
flashy    flash.y
dweller    dwell.er
tame    tame
hygiene    hy.gi.ene
mindful    mind.ful
porn    porn
bison    bi.son
physiology    physi.olo.gy
mussels    mus.sels
relive    re.live
deport    de.port
debacle    de.bac.le
detrimental    de.triment.al
amen    a.men
genus    gen.us
pilot    pi.lot
blare    blare
funded    fund.ed
oversized    over.sized
original    ori.gin.al
valuation    valu.ation
nice    nice
gobble    gobble
attainment    at.tain.ment
jolt    jolt
ardent    ar.dent
naturalist    nat.ur.al.ist
centennial    cent.enn.ial
learned    learn.ed
unprepared    un.prepar.ed
appalling    ap.pal.ling
righteous    right.eous
subpoena    sub.poena
provisional    pro.vision.al
regular    reg.ular
mend    mend
cheerfully    cheer.ful.ly
metaphysical    meta.phys.ical
teller    tell.er
internalize    in.ternal.ize
demolition    de.molit.ion
tweak    tweak
spiritually    spirit.ual.ly
leafy    leaf.y
devout    de.vout
proprietor    pro.priet.or
noted    not.ed
boiler    boil.er
fielder    field.er
reorganize    re.organ.ize
penetration    pen.etrat.ion
grimace    grim.ace
unjust    un.just
exporter    ex.port.er
narration    nar.rat.ion
vegetarian    veget.ari.an
powerfully    power.ful.ly
mint    mint
baggy    bag.gy
rearview    rear.view
ailing    ail.ing
strife    strife
murmur    murmur
wrong    wrong
exaggeration    ex.ag.ger.ation
jordanian    jordan.ian
accentuate    ac.cen.tu.ate
primer    prim.er
leash    leash
validation    val.id.ation
gutter    gutt.er
auditory    audit.ory
hebrew    hebrew
propensity    pro.pen.si.ty
ponytail    pony.tail
crop    crop
adventurous    ad.vent.ur.ous
bottled    bott.led
reinstate    re.in.state
islamist    is.lam.ist
delusion    de.lus.ion
faint    faint
breathless    breath.less
privatize    priv.at.ize
gun    gun
spoon    spoon
mate    mate
refund    re.fund
chuckle    chuck.le
plutonium    plut.oni.um
chip    chip
synthesize    syn.the.size
solidify    solid.ify
ascribe    a.scribe
stabilization    stabil.ization
trafficker    traff.ick.er
uncanny    un.cann.y
aspiring    a.spir.ing
pane    pane
atm    atm
condition    con.dit.ion
feeder    feed.er
specified    speci.fied
buy    buy
backward    back.ward
dampen    damp.en
hire    hire
rouse    rouse
childbirth    child.birth
smother    smoth.er
eject    e.ject
jeep    jeep
backstage    back.stage
flatly    flat.ly
unauthorized    un.author.ized
sincerity    sincer.ity
marshal    mar.shal
forgiving    for.giv.ing
trainee    train.ee
undesirable    un.desir.able
horde    horde
hideous    hide.ous
infancy    in.fanc.y
tsunami    tsunami
mute    mute
craftsman    craft.sman
alternately    altern.ate.ly
escalating    e.scal.at.ing
intersect    in.tersect
eyeball    eye.ball
professionalism    profession.al.ism
watermelon    water.melon
oatmeal    oat.meal
treacherous    treach.er.ous
dormitory    dorm.it.ory
quirky    quir.ky
outstretched    out.stretch.ed
staffing    staf.fing
stairwell    stair.well
angle    ang.le
hassle    has.sle
moderation    mod.er.ation
stricken    strick.en
stipulate    stip.ul.ate
adultery    ad.ul.ter.y
remarry    re.mar.ry
shred    shred
changed    chang.ed
foreman    fore.man
corpus    corp.us
determining    de.termin.ing
intrusive    in.trus.ive
confidently    con.fident.ly
metabolic    meta.bol.ic
memorandum    memor.and.um
dwindling    dwindl.ing
infinitely    in.fin.itely
methodological    meth.odo.log.ical
embodiment    em.bodi.ment
overdue    over.due
mover    mov.er
fragmentation    frag.ment.ation
cameraman    camera.man
cognition    co.gnit.ion
up    up
sweatshirt    sweat.shirt
prolific    pro.lif.ic
gladly    glad.ly
tilt    tilt
mythical    myth.ical
leukemia    leukem.ia
marginalize    mar.gin.al.ize
vent    vent
mulch    mulch
upwards    up.wards
upstairs    up.stairs
unnamed    un.named
syndicated    syn.dic.ated
powerhouse    power.house
sidebar    side.bar
partner    partn.er
defective    de.fect.ive
shabby    shab.by
censor    cen.sor
drip    drip
schoolchild    school.child
construe    con.strue
overhaul    over.haul
conducive    con.duc.ive
conceptualize    con.ceptu.al.ize
flick    flick
disable    dis.able
trough    trough
warmly    warm.ly
ludicrous    ludicr.ous
reference    re.fer.ence
trappings    trap.pings
tenderness    tend.erness
busy    busy
beige    beige
throng    throng
scoff    scoff
veggie    veg.gie
generalized    gen.eral.ized
frequent    frequent
treasurer    treas.ur.er
optimum    opt.imum
sanity    sanit.y
pitfall    pit.fall
articulation    ar.tic.ula.tion
revolutionize    re.volu.tion.ize
mammoth    mammoth
weight    weight
fervor    fervor
treasury    treasur.y
dagger    dagg.er
steep    steep
hem    hem
revolver    re.volv.er
intimate    in.tim.ate
determinant    de.termin.ant
chiefly    chief.ly
shrewd    shrewd
want    want
pink    pink
predatory    pre.dator.y
subtlety    sub.tle.ty
cavern    cavern
involuntary    in.volunt.ary
thicket    thicket
nigerian    niger.ian
prep    prep
idealism    ideal.ism
suggested    sug.gest.ed
prowess    prowess
booze    booze
magistrate    magis.trate
burglar    bur.glar
diffusion    dif.fus.ion
campfire    camp.fire
specificity    speci.fici.ty
clerical    cler.ical
overlapping    over.lap.ping
ooze    ooze
hamstring    hamstring
spearhead    spear.head
argentine    argentine
fair    fair
mommy    mommy
taiwanese    taiwan.ese
shallot    shallot
steaming    steam.ing
goggle    goggle
perennial    per.enn.ial
bristle    brist.le
sweetie    sweet.ie
locality    local.ity
verification    ver.ific.ation
truce    truce
dugout    dug.out
man    man
scrape    scrape
timer    tim.er
fancy    fancy
astonished    a.ston.ished
star    star
threatening    threat.en.ing
prerequisite    pre.re.quis.ite
intrigue    in.trigue
mistakenly    mis.taken.ly
quad    quad
preschooler    pre.school.er
multiculturalism    multi.cultur.al.ism
padded    padd.ed
rein    rein
shortcut    short.cut
wax    wax
antisocial    anti.social
underside    under.side
captive    cap.tive
beak    beak
tenuous    tenu.ous
simulated    sim.ul.at.ed
misty    mist.y
hanger    hang.er
scowl    scowl
pedagogical    pedagog.ical
falling    fal.ling
strikingly    strik.ing.ly
repository    repos.it.ory
refute    re.fute
spontaneously    spon.tane.ous.ly
reassuring    re.as.sur.ing
pee    pee
meticulous    me.ticu.lous
eminent    e.min.ent
knowingly    know.ing.ly
vaccination    vac.cin.ation
housekeeper    house.keep.er
crank    crank
net    net
overhead    over.head
shingle    shing.le
decorated    dec.or.ated
sympathize    sym.path.ize
neglected    ne.glect.ed
biotech    bio.tech
iris    iris
richly    rich.ly
imperialism    imperi.al.ism
backseat    back.seat
stillness    still.ness
canister    can.ist.er
ferry    f.erry
fraudulent    fraud.ul.ent
garnish    garn.ish
onslaught    on.slaught
stroll    stroll
relational    relat.ion.al
bedding    bed.ding
realistically    realistic.ally
pastime    pas.time
budge    budge
submerge    sub.merge
foul    foul
usable    us.able
antioxidant    anti.oxid.ant
homecoming    home.com.ing
